spk_id,log_f0_rmse,stft_l2_dist,vuv_error
1645,0.11,0.826,10
1649,0.082,0.843,7
1668,0.083,0.88,8
1673,0.08,0.898,8
1678,0.086,0.954,9
1705,0.15,0.837,10
1724,0.143,0.861,12
1731,0.066,0.941,10
1734,0.203,0.859,11
1737,0.089,0.942,9
1740,0.096,0.911,10
1743,0.136,0.815,7
1748,0.121,0.824,12
1752,0.136,0.892,12
1754,0.094,0.917,8
1769,0.12,0.776,8
1776,0.151,0.808,8
1777,0.113,0.805,11
1779,0.086,0.851,8
1789,0.117,0.85,9
1801,0.128,0.79,10
1806,0.195,0.871,12
1811,0.143,0.814,10
1825,0.083,0.934,8
1826,0.119,0.974,9
1827,0.16,0.851,12
1841,0.121,0.851,9
1845,0.078,0.851,13
1849,0.127,0.851,11
1851,0.07,0.921,9
1859,0.122,0.86,10
1867,0.087,0.841,9
1874,0.14,0.834,12
1885,0.075,0.941,9
1898,0.092,0.918,9
1903,0.111,0.841,11
1913,0.11,0.871,10
1914,0.135,0.929,12
1919,0.07,0.891,9
1923,0.071,0.877,9
1926,0.07,0.962,8
1933,0.133,0.876,10
1943,0.106,0.828,8
1944,0.081,0.875,9
1958,0.094,0.88,11
1961,0.087,0.897,10
1963,0.124,0.889,9
1970,0.089,0.862,9
1974,0.106,0.873,8
1987,0.116,0.809,10
1988,0.18,0.886,10
1992,0.097,0.886,8
1993,0.081,0.929,9
1995,0.087,0.848,7
2002,0.079,0.84,10
2004,0.085,0.885,8
2007,0.097,0.912,10
2010,0.09,0.804,8
2012,0.098,0.805,8
2035,0.08,0.89,7
2039,0.082,0.817,9
2045,0.087,0.834,11
2053,0.124,0.84,12
2056,0.094,0.849,9
2060,0.072,0.86,9
2061,0.125,0.841,10
2074,0.13,0.853,12
2078,0.144,0.851,11
2085,0.15,1.003,0
2086,0.133,0.838,13
2092,0.114,0.861,10
2093,0.123,0.876,10
2110,0.169,0.829,12
2113,0.102,0.942,9
2127,0.118,0.828,10
2136,0.108,0.812,9
2137,0.132,0.844,9
2146,0.107,0.843,10
2149,0.076,0.86,9
2156,0.112,0.798,9
2159,0.119,0.852,14
2162,0.095,0.801,10
2167,0.075,0.935,13
2182,0.146,0.971,7
2194,0.088,0.859,8
2196,0.098,0.809,8
2201,0.075,0.826,10
2204,0.127,0.819,8
2229,0.13,0.897,12
2230,0.092,1.014,7
2238,0.127,0.82,9
2240,0.072,0.799,8
2254,0.073,0.91,10
2256,0.12,0.874,11
2269,0.138,0.845,10
2272,0.1,0.852,11
2277,0.081,0.957,9
2285,0.126,0.838,13
2289,0.114,0.845,11
2294,0.142,0.822,7
2299,0.116,0.807,9
2300,0.11,0.806,8
2319,0.132,0.855,13
2364,0.127,0.832,10
2368,0.079,0.935,9
2384,0.078,0.823,12
2388,0.135,0.829,10
2391,0.089,0.881,8
2393,0.124,0.967,10
2397,0.103,0.862,11
2401,0.091,0.868,8
2404,0.185,0.928,8
2411,0.096,0.891,8
2412,0.078,0.888,7
2416,0.12,0.892,10
2427,0.117,0.826,13
2428,0.181,0.816,8
2436,0.133,0.961,13
2473,0.132,0.826,9
2481,0.082,0.875,9
2494,0.119,0.837,14
2498,0.111,0.953,13
2499,0.134,0.866,12
2512,0.07,0.915,5
2514,0.103,0.817,10
2517,0.099,0.78,6
2518,0.12,0.834,11
2531,0.109,0.874,9
2532,0.085,0.919,11
2562,0.113,0.862,13
2570,0.084,0.911,9
2573,0.144,1.09,8
2577,0.15,0.907,11
2581,0.139,0.966,11
2582,0.087,0.925,8
2589,0.112,0.813,11
2592,0.073,0.905,8
2598,0.124,0.861,10
2618,0.129,0.809,9
2628,0.099,0.875,8
2638,0.115,0.871,10
2652,0.089,0.862,7
2654,0.133,0.823,11
2673,0.115,0.82,11
2674,0.144,0.814,8
2688,0.119,0.877,12
2691,0.087,0.814,8
2696,0.078,0.847,12
2709,0.078,0.863,7
2741,0.073,0.894,9
2751,0.122,0.866,10
2758,0.052,0.884,7
2764,0.033,0.955,9
2769,0.109,0.903,10
2774,0.122,0.796,9
2775,0.083,0.874,7
2785,0.135,0.918,10
2787,0.158,0.859,11
2790,0.104,0.907,11
2803,0.112,0.806,10
2812,0.145,0.814,10
2816,0.134,0.85,17
2817,0.1,0.898,9
2823,0.133,0.838,10
2827,0.107,0.811,8
2830,0.094,0.839,11
2836,0.111,0.91,9
2843,0.132,0.819,11
2853,0.094,0.925,11
2882,0.144,0.938,12
2893,0.097,0.859,9
2902,0.077,0.84,10
2910,0.092,0.82,7
2911,0.157,0.832,10
2920,0.138,0.872,12
2929,0.152,0.815,11
2952,0.107,1.003,10
2960,0.168,0.862,14
2961,0.084,0.883,10
2971,0.177,0.843,11
2989,0.065,0.887,7
2992,0.144,0.846,12
2999,0.136,0.809,11
3000,0.133,0.824,11
3001,0.05,0.91,10
3003,0.146,0.851,11
3008,0.088,0.845,10
3009,0.133,0.811,9
3025,0.114,0.874,9
3032,0.075,0.814,9
3046,0.085,0.878,10
3070,0.132,0.871,8
3072,0.131,0.826,8
3081,0.089,1.028,15
3082,0.153,0.857,12
3083,0.131,0.906,11
3094,0.098,0.868,9
3105,0.123,0.809,10
3112,0.08,0.897,9
3114,0.113,0.845,13
3118,0.155,0.964,18
3119,0.1,0.913,12
3157,0.141,0.83,10
3168,0.155,0.833,11
3170,0.138,0.811,10
3171,0.204,0.833,13
3180,0.127,0.858,12
3185,0.144,0.821,10
3187,0.142,1.241,9
3214,0.117,0.984,12
3215,0.096,0.879,12
3221,0.139,0.826,11
3224,0.075,0.848,8
3228,0.083,0.89,6
3230,0.097,0.796,7
3235,0.083,0.865,7
3240,0.12,0.827,11
3242,0.105,0.819,7
3258,0.091,0.817,9
3259,0.094,0.94,11
3274,0.168,0.827,10
3289,0.116,0.847,10
3294,0.082,0.856,9
3307,0.082,0.844,12
3328,0.126,0.845,13
3330,0.087,0.917,9
3340,0.122,0.872,11
3357,0.083,0.924,9
3361,0.106,0.922,10
3368,0.135,0.839,7
3370,0.143,0.845,10
3374,0.075,0.816,8
3379,0.088,0.88,9
3380,0.08,0.893,8
3389,0.146,1.002,10
3436,0.083,0.83,10
3440,0.096,0.925,10
3446,0.079,0.919,9
3448,0.101,0.802,10
3482,0.133,0.894,13
3483,0.079,0.831,10
3486,0.138,0.873,10
3490,0.109,0.812,9
3493,0.116,0.875,10
3513,0.09,0.854,10
3521,0.118,0.814,10
3526,0.081,0.924,9
3536,0.084,0.84,8
3537,0.094,0.83,9
3540,0.081,0.836,9
3546,0.135,0.877,13
3549,0.091,0.874,7
3551,0.082,0.838,9
